rk,school,school_url,school_id,from,to,yrs,g,w,l,wl_pct,srs,sos,ap,creg,ctrn,ncaa,ff,nc
130,Fairleigh Dickinson Knights,/cbb/schools/fairleigh-dickinson/,fairleigh-dickinson,1968,2015,48,1335,643,692,.482,-9.30,-7.05,0,5,4,4,0,0
131,Florida A&M Rattlers,/cbb/schools/florida-am/,florida-am,1980,2015,36,1061,418,643,.394,-15.60,-9.06,0,0,4,3,0,0
132,Florida Atlantic Owls,/cbb/schools/florida-atlantic/,florida-atlantic,1994,2015,22,645,233,412,.361,-9.97,-3.79,0,1,1,1,0,0
133,Florida Gators,/cbb/schools/florida/,florida,1921,2015,94,2406,1343,1062,.558,13.29,7.83,13,9,4,19,5,2
134,Florida Gulf Coast Eagles,/cbb/schools/florida-gulf-coast/,florida-gulf-coast,2011,2015,5,167,95,72,.569,-2.74,-3.57,0,1,1,1,0,0
135,Florida International Panthers,/cbb/schools/florida-international/,florida-international,1988,2015,28,823,325,498,.395,-8.72,-3.42,0,1,1,1,0,0
136,Florida State Seminoles,/cbb/schools/florida-state/,florida-state,1957,2015,59,1720,1004,716,.584,9.65,7.41,8,2,2,14,1,0
137,Fordham Rams,/cbb/schools/fordham/,fordham,1903,2015,111,2778,1467,1311,.528,-3.58,0.20,1,4,4,4,0,0
138,Franklin Grizzlies,/cbb/schools/franklin/,franklin,1907,1925,18,221,144,77,.652,,,0,0,0,,,
139,Fresno State Bulldogs,/cbb/schools/fresno-state/,fresno-state,1956,2015,48,1437,797,640,.555,4.24,2.60,1,6,4,5,0,0
140,Furman Paladins,/cbb/schools/furman/,furman,1920,2015,94,2354,1152,1202,.489,-7.15,-3.79,0,5,6,6,0,0
141,Gardner-Webb Runnin' Bulldogs,/cbb/schools/gardner-webb/,gardner-webb,2003,2015,13,404,177,227,.438,-9.05,-4.69,0,1,0,0,0,0
142,Geneva Golden Tornadoes,/cbb/schools/geneva/,geneva,1893,1943,10,125,80,45,.640,,,0,0,0,0,0,0
143,George Mason Patriots,/cbb/schools/george-mason/,george-mason,1979,2015,37,1105,599,506,.542,-1.06,-1.70,0,4,4,6,1,0
144,George Washington Colonials,/cbb/schools/george-washington/,george-washington,1913,2015,98,2361,1277,1084,.541,3.20,2.27,3,7,5,11,0,0
145,Georgetown Hoyas,/cbb/schools/georgetown/,georgetown,1907,2015,107,2597,1609,988,.620,14.37,7.36,20,11,7,30,5,1
146,Georgia Bulldogs,/cbb/schools/georgia/,georgia,1906,2015,110,2603,1355,1248,.521,10.43,7.76,5,3,3,12,1,0
147,Georgia Southern Eagles,/cbb/schools/georgia-southern/,georgia-southern,1972,2015,44,1269,640,629,.504,-7.12,-5.25,0,7,3,3,0,0
148,Georgia State Panthers,/cbb/schools/georgia-state/,georgia-state,1974,2015,42,1215,509,706,.419,-7.33,-4.19,0,6,3,3,0,0
149,Georgia Tech Yellow Jackets,/cbb/schools/georgia-tech/,georgia-tech,1920,2015,96,2458,1297,1161,.528,10.55,8.85,8,3,4,16,2,0
150,Gettysburg Bullets,/cbb/schools/gettysburg/,gettysburg,1901,1973,41,724,385,339,.532,,,0,0,0,0,0,0
151,Gonzaga Bulldogs,/cbb/schools/gonzaga/,gonzaga,1944,2015,64,1856,1175,681,.633,7.79,1.27,9,20,14,18,0,0
152,Grambling Tigers,/cbb/schools/grambling/,grambling,1978,2015,38,1067,387,680,.363,-18.10,-9.42,0,2,0,0,0,0
153,Grand Canyon Antelopes,/cbb/schools/grand-canyon/,grand-canyon,2014,2015,2,62,32,30,.516,-6.51,-4.48,0,0,0,0,0,0
154,Green Bay Phoenix,/cbb/schools/green-bay/,green-bay,1982,2015,34,1020,564,456,.553,-0.06,-1.00,0,4,3,4,0,0
155,Grinnell Pioneers,/cbb/schools/grinnell/,grinnell,1901,1939,38,550,280,270,.509,,,0,0,0,0,0,0
156,Grove City Wolverines,/cbb/schools/grove-city/,grove-city,1899,1925,27,383,257,126,.671,,,0,0,0,,,
157,Hamline Pipers,/cbb/schools/hamline/,hamline,1945,1948,4,102,82,20,.804,,,0,0,0,0,0,0
158,Hampton Pirates,/cbb/schools/hampton/,hampton,1996,2015,20,610,320,290,.525,-8.83,-9.09,0,2,5,5,0,0
159,Hardin-Simmons Cowboys,/cbb/schools/hardin-simmons/,hardin-simmons,1923,1990,45,1149,481,668,.419,-11.53,-4.81,0,1,0,2,0,0
160,Hartford Hawks,/cbb/schools/hartford/,hartford,1985,2015,31,907,380,527,.419,-8.95,-5.39,0,0,0,0,0,0
161,Harvard Crimson,/cbb/schools/harvard/,harvard,1901,2015,104,2362,1084,1278,.459,-7.79,-5.75,0,5,0,5,0,0
162,Haskell Indian Nations Institute Fighting Indians,/cbb/schools/haskell-indian-nations-institute/,haskell-indian-nations-institute,1903,1908,2,39,27,12,.692,,,0,0,0,,,
163,Hawaii Warriors,/cbb/schools/hawaii/,hawaii,1971,2015,45,1314,681,633,.518,2.53,2.58,1,2,3,4,0,0
