Air Force,721,2003,"Dahlstrom, Brittany",289182,Fr.,2002-03,F,6-0,21,4,13,30.769,0,0,-,2,2,100.000,13,0.619,1,0.048,1,0.048,2,0.095,10,0.476,-,-,-
Air Force,721,2003,"Goss, Nicole",289177,Fr.,2002-03,G,5-10,10,21,53,39.623,3,10,30.000,3,4,75.000,20,2.000,8,0.800,0,-,12,1.200,48,4.800,-,-,-
Air Force,721,2003,"Gross, Emily",102960,So.,2002-03,F,5-11,18,41,79,51.899,0,0,-,13,21,61.905,67,3.722,6,0.333,4,0.222,10,0.556,95,5.278,-,-,-
Air Force,721,2003,"Grove, Gwendolyn",102967,So.,2002-03,G,5-7,26,44,121,36.364,11,41,26.829,23,39,58.974,73,2.808,46,1.769,0,-,17,0.654,122,4.692,-,-,-
Air Force,721,2003,"Howell, LaToya",102966,So.,2002-03,G,5-4,17,86,231,37.229,14,41,34.146,110,138,79.710,80,4.706,119,7.000,4,0.235,55,3.235,296,17.412,-,-,-
Air Force,721,2003,"Hueman, Melissa",289179,So.,2002-03,F,6-0,19,8,30,26.667,4,17,23.529,6,11,54.545,20,1.053,2,0.105,0,-,2,0.105,26,1.368,-,-,-
Air Force,721,2003,"Neff, Shawna",102978,Jr.,2002-03,F,5-10,28,127,327,38.838,52,125,41.600,53,66,80.303,117,4.179,33,1.179,11,0.393,47,1.679,359,12.821,-,-,-
Air Force,721,2003,"Pounds, Dana",289180,Fr.,2002-03,G,5-2,25,19,41,46.341,7,17,41.176,14,23,60.870,27,1.080,27,1.080,0,-,9,0.360,59,2.360,-,-,-
Air Force,721,2003,"Rees, Laurie",289176,So.,2002-03,G,5-7,15,0,3,-,0,1,-,0,0,-,5,0.333,3,0.200,0,-,0,-,-,-,-,-,-
Air Force,721,2003,"Roesch, Jennifer",114729,So.,2002-03,G,6-0,28,63,166,37.952,26,86,30.233,39,54,72.222,71,2.536,38,1.357,2,0.071,30,1.071,191,6.821,-,-,-
Air Force,721,2003,"Stillman, Wendy",102961,Sr.,2002-03,C,6-1,28,41,117,35.043,0,7,-,22,32,68.750,93,3.321,20,0.714,2,0.071,9,0.321,104,3.714,-,-,-
Air Force,721,2003,"Thomas, Briana",289181,Fr.,2002-03,C,5-10,28,66,135,48.889,0,0,-,33,60,55.000,141,5.036,14,0.500,8,0.286,20,0.714,165,5.893,-,-,-
Air Force,721,2003,"Weber, Jetta",289178,Fr.,2002-03,G,5-7,18,0,3,-,0,3,-,0,0,-,9,0.500,8,0.444,0,-,2,0.111,-,-,-,-,-
Akron,5,2003,"Arnold, Jen",75149,So.,2002-03,G,5-8,26,69,176,39.205,26,81,32.099,14,22,63.636,82,3.154,38,1.462,0,-,17,0.654,178,6.846,-,-,-
Akron,5,2003,"Bell, Felecia",66233,Sr.,2002-03,G,6-0,28,24,56,42.857,1,1,100.000,28,45,62.222,91,3.250,22,0.786,10,0.357,24,0.857,77,2.750,-,-,-
Akron,5,2003,"Black, Jessica",288186,So.,2002-03,F,5-10,5,1,4,25.000,1,3,33.333,1,2,50.000,0,-,0,-,0,-,0,-,4,0.800,-,-,-
Akron,5,2003,"Booms, Kristy",75151,Jr.,2002-03,F,6-1,22,12,27,44.444,0,0,-,6,11,54.545,21,0.955,2,0.091,1,0.045,4,0.182,30,1.364,-,-,-
Akron,5,2003,"Caranfa, Erica",75152,Jr.,2002-03,G,5-7,19,1,17,5.882,0,1,-,2,2,100.000,12,0.632,4,0.211,0,-,3,0.158,4,0.211,-,-,-
Akron,5,2003,"Carter, Katrina",66234,Jr.,2002-03,G,5-5,23,14,47,29.787,3,20,15.000,8,12,66.667,21,0.913,38,1.652,0,-,15,0.652,39,1.696,-,-,-
Akron,5,2003,"Crews, Mary",288187,Fr.,2002-03,C,6-1,12,5,17,29.412,0,0,-,1,11,9.091,16,1.333,0,-,3,0.250,0,-,11,0.917,-,-,-
Akron,5,2003,"Dopoulos, Celina",75153,So.,2002-03,G,5-8,19,20,44,45.455,9,23,39.130,2,3,66.667,15,0.789,15,0.789,1,0.053,14,0.737,51,2.684,-,-,-
